Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:260, train_loss:1.06703, train_acc:0.42265, val_loss=1.11528, val_acc=0.46914
T:261, train_loss:1.08437, train_acc:0.39074, val_loss=0.99680, val_acc=0.52006
T:262, train_loss:1.08128, train_acc:0.41679, val_loss=1.08234, val_acc=0.47840
T:263, train_loss:1.06125, train_acc:0.40811, val_loss=1.04150, val_acc=0.47840
T:264, train_loss:1.06143, train_acc:0.41906, val_loss=1.01454, val_acc=0.49074
T:265, train_loss:1.05018, train_acc:0.45208, val_loss=0.98580, val_acc=0.53549
T:266, train_loss:1.03803, train_acc:0.47005, val_loss=1.00955, val_acc=0.52932
T:267, train_loss:1.03349, train_acc:0.46463, val_loss=1.08915, val_acc=0.51698
T:268, train_loss:1.02853, train_acc:0.47060, val_loss=0.99195, val_acc=0.54630
T:269, train_loss:1.02555, train_acc:0.47298, val_loss=1.02952, val_acc=0.56481
T:270, train_loss:1.01956, train_acc:0.47840, val_loss=0.99544, val_acc=0.56173
T:271, train_loss:1.00303, train_acc:0.49682, val_loss=1.01189, val_acc=0.54012
T:272, train_loss:0.99115, train_acc:0.50661, val_loss=1.00952, val_acc=0.54321
T:273, train_loss:0.98976, train_acc:0.50064, val_loss=1.00243, val_acc=0.54475
T:274, train_loss:0.98965, train_acc:0.50301, val_loss=1.02076, val_acc=0.54321
T:275, train_loss:0.99473, train_acc:0.50960, val_loss=1.00720, val_acc=0.53395
T:276, train_loss:0.99235, train_acc:0.49997, val_loss=0.97701, val_acc=0.54938
T:277, train_loss:0.98752, train_acc:0.51253, val_loss=0.99611, val_acc=0.55556
T:278, train_loss:0.99497, train_acc:0.51236, val_loss=0.95540, val_acc=0.54938
T:279, train_loss:0.99072, train_acc:0.51496, val_loss=1.01817, val_acc=0.52778
T:280, train_loss:0.98497, train_acc:0.52304, val_loss=1.14509, val_acc=0.52932
T:281, train_loss:0.98988, train_acc:0.51739, val_loss=1.11834, val_acc=0.54321
T:282, train_loss:0.98058, train_acc:0.51762, val_loss=0.98318, val_acc=0.54167
T:283, train_loss:0.96423, train_acc:0.53266, val_loss=0.99363, val_acc=0.54630
T:284, train_loss:0.96885, train_acc:0.54228, val_loss=1.02569, val_acc=0.53086
T:285, train_loss:0.96109, train_acc:0.54300, val_loss=1.01792, val_acc=0.55710
T:286, train_loss:0.95961, train_acc:0.55102, val_loss=0.98541, val_acc=0.54012
T:287, train_loss:0.96504, train_acc:0.54228, val_loss=1.01083, val_acc=0.52315
T:288, train_loss:0.95608, train_acc:0.55290, val_loss=1.05168, val_acc=0.54012
T:289, train_loss:0.94893, train_acc:0.56457, val_loss=1.41809, val_acc=0.48920
T:290, train_loss:0.95622, train_acc:0.55683, val_loss=1.04725, val_acc=0.50926
T:291, train_loss:0.96409, train_acc:0.55744, val_loss=1.13414, val_acc=0.53395
T:292, train_loss:0.94058, train_acc:0.56999, val_loss=1.01280, val_acc=0.55401
T:293, train_loss:0.93308, train_acc:0.56949, val_loss=1.06366, val_acc=0.51389
T:294, train_loss:0.92707, train_acc:0.57552, val_loss=1.03669, val_acc=0.53241
T:295, train_loss:0.91758, train_acc:0.58719, val_loss=1.11167, val_acc=0.54321
T:296, train_loss:0.93515, train_acc:0.57729, val_loss=1.11212, val_acc=0.51235
T:297, train_loss:0.93023, train_acc:0.57884, val_loss=0.99242, val_acc=0.49846
T:298, train_loss:0.93426, train_acc:0.57287, val_loss=1.05460, val_acc=0.51080
T:299, train_loss:0.93293, train_acc:0.56739, val_loss=1.04647, val_acc=0.53395
T:300, train_loss:0.93775, train_acc:0.56839, val_loss=1.02699, val_acc=0.53395
T:301, train_loss:0.93108, train_acc:0.57646, val_loss=0.98582, val_acc=0.54784
