T:125, train_loss:0.99001, train_acc:0.50366, val_loss=2.82993, val_acc=0.54784
T:126, train_loss:1.00503, train_acc:0.48838, val_loss=3.86132, val_acc=0.52469
T:127, train_loss:0.98320, train_acc:0.50441, val_loss=3.54669, val_acc=0.51080
T:128, train_loss:0.98803, train_acc:0.50095, val_loss=1.91959, val_acc=0.52469
T:129, train_loss:0.99820, train_acc:0.49911, val_loss=3.54355, val_acc=0.53241
T:130, train_loss:1.00119, train_acc:0.48763, val_loss=3.10475, val_acc=0.54630
T:131, train_loss:1.05383, train_acc:0.48262, val_loss=1.10092, val_acc=0.45988
T:132, train_loss:1.03865, train_acc:0.48636, val_loss=1.61236, val_acc=0.54784
T:133, train_loss:1.03244, train_acc:0.48066, val_loss=1.41455, val_acc=0.56019
T:134, train_loss:1.00255, train_acc:0.49818, val_loss=1.25112, val_acc=0.53704
T:135, train_loss:0.98910, train_acc:0.50972, val_loss=1.12543, val_acc=0.55710
T:136, train_loss:0.97784, train_acc:0.51104, val_loss=1.03974, val_acc=0.55710
T:137, train_loss:0.97873, train_acc:0.51387, val_loss=1.00974, val_acc=0.50463
T:138, train_loss:0.98978, train_acc:0.50118, val_loss=1.12554, val_acc=0.54321
T:139, train_loss:0.98050, train_acc:0.50793, val_loss=1.06874, val_acc=0.53704
T:140, train_loss:0.97400, train_acc:0.51698, val_loss=1.32456, val_acc=0.47840
T:141, train_loss:0.96867, train_acc:0.51986, val_loss=1.17178, val_acc=0.54321
T:142, train_loss:0.96317, train_acc:0.52119, val_loss=1.19329, val_acc=0.52160
T:143, train_loss:0.97572, train_acc:0.51594, val_loss=1.28801, val_acc=0.50617
T:144, train_loss:0.96661, train_acc:0.51946, val_loss=1.23910, val_acc=0.52160
T:145, train_loss:0.97882, train_acc:0.51196, val_loss=1.45581, val_acc=0.49074
T:146, train_loss:0.98194, train_acc:0.51358, val_loss=1.49010, val_acc=0.55093
T:147, train_loss:0.97279, train_acc:0.51986, val_loss=1.33304, val_acc=0.52469
T:148, train_loss:0.96697, train_acc:0.51606, val_loss=1.37907, val_acc=0.51235
T:149, train_loss:0.95155, train_acc:0.52978, val_loss=1.39753, val_acc=0.51543
T:150, train_loss:0.94995, train_acc:0.52978, val_loss=1.61742, val_acc=0.50772
T:151, train_loss:0.95080, train_acc:0.53382, val_loss=1.74512, val_acc=0.50617
T:152, train_loss:0.95269, train_acc:0.53878, val_loss=1.69542, val_acc=0.51235
T:153, train_loss:0.96157, train_acc:0.52621, val_loss=1.15526, val_acc=0.48611
T:154, train_loss:0.95260, train_acc:0.52909, val_loss=1.42424, val_acc=0.51235
T:155, train_loss:0.94880, train_acc:0.53088, val_loss=1.86542, val_acc=0.51698
T:156, train_loss:0.95136, train_acc:0.52863, val_loss=1.68290, val_acc=0.50772
T:157, train_loss:0.96654, train_acc:0.51381, val_loss=1.67504, val_acc=0.50772
T:158, train_loss:0.98531, train_acc:0.50066, val_loss=1.83838, val_acc=0.49691
T:159, train_loss:0.97351, train_acc:0.50804, val_loss=1.97672, val_acc=0.49228
T:160, train_loss:0.96458, train_acc:0.52505, val_loss=2.07720, val_acc=0.48302
T:161, train_loss:0.95923, train_acc:0.52897, val_loss=1.67111, val_acc=0.50309
T:162, train_loss:0.96614, train_acc:0.52920, val_loss=1.82295, val_acc=0.49691
T:163, train_loss:0.96296, train_acc:0.53520, val_loss=1.60330, val_acc=0.49074
T:164, train_loss:0.96458, train_acc:0.53780, val_loss=1.47264, val_acc=0.48920
T:165, train_loss:0.95149, train_acc:0.54822, val_loss=1.45203, val_acc=0.49074
T:166, train_loss:0.97019, train_acc:0.53743, val_loss=1.62438, val_acc=0.48457
T:167, train_loss:0.95955, train_acc:0.54641, val_loss=1.33262, val_acc=0.47994
T:168, train_loss:0.95624, train_acc:0.54664, val_loss=1.67189, val_acc=0.49074
T:169, train_loss:0.95478, train_acc:0.54545, val_loss=1.49359, val_acc=0.49074
T:170, train_loss:0.95015, train_acc:0.54042, val_loss=1.58298, val_acc=0.49383
T:171, train_loss:0.96908, train_acc:0.53879, val_loss=2.30648, val_acc=0.48765
T:172, train_loss:0.96262, train_acc:0.53738, val_loss=1.50450, val_acc=0.48302
T:173, train_loss:0.96697, train_acc:0.53342, val_loss=1.50758, val_acc=0.49691
T:174, train_loss:0.97627, train_acc:0.52637, val_loss=1.64791, val_acc=0.49074
T:175, train_loss:0.96707, train_acc:0.53229, val_loss=1.93028, val_acc=0.49383
T:176, train_loss:0.98769, train_acc:0.53241, val_loss=1.54476, val_acc=0.49691
T:177, train_loss:0.99626, train_acc:0.53156, val_loss=1.54985, val_acc=0.49383
T:178, train_loss:0.99087, train_acc:0.53258, val_loss=2.05775, val_acc=0.48611
T:179, train_loss:0.98171, train_acc:0.52958, val_loss=1.73327, val_acc=0.48302
T:180, train_loss:0.98215, train_acc:0.53032, val_loss=1.64275, val_acc=0.47994
T:181, train_loss:0.99410, train_acc:0.52433, val_loss=1.24135, val_acc=0.47377
T:182, train_loss:0.98823, train_acc:0.52603, val_loss=1.28662, val_acc=0.45833
T:183, train_loss:0.98700, train_acc:0.52411, val_loss=1.24582, val_acc=0.49383
T:184, train_loss:0.98711, train_acc:0.52834, val_loss=1.24087, val_acc=0.49691
T:185, train_loss:0.98333, train_acc:0.53207, val_loss=1.34776, val_acc=0.48611
T:186, train_loss:0.98056, train_acc:0.53642, val_loss=1.20546, val_acc=0.49537
T:187, train_loss:0.98618, train_acc:0.52992, val_loss=1.16984, val_acc=0.48148
T:188, train_loss:0.98280, train_acc:0.53043, val_loss=1.03356, val_acc=0.49691
T:189, train_loss:0.98916, train_acc:0.53229, val_loss=1.06399, val_acc=0.43056
T:190, train_loss:1.01150, train_acc:0.52004, val_loss=1.11555, val_acc=0.48148
T:191, train_loss:1.00187, train_acc:0.51818, val_loss=1.13550, val_acc=0.47377
T:192, train_loss:1.00492, train_acc:0.51022, val_loss=1.08736, val_acc=0.47068
T:193, train_loss:1.04338, train_acc:0.45495, val_loss=1.04970, val_acc=0.43827
T:194, train_loss:1.00362, train_acc:0.50593, val_loss=1.06785, val_acc=0.46605
T:195, train_loss:0.99328, train_acc:0.51615, val_loss=1.07603, val_acc=0.48457
T:196, train_loss:1.00147, train_acc:0.50858, val_loss=1.06681, val_acc=0.49383
T:197, train_loss:1.00103, train_acc:0.51107, val_loss=1.06567, val_acc=0.47994
T:198, train_loss:0.99887, train_acc:0.51095, val_loss=1.11609, val_acc=0.47068
T:199, train_loss:0.99273, train_acc:0.51327, val_loss=1.14952, val_acc=0.46142
T:200, train_loss:0.99841, train_acc:0.50813, val_loss=1.12656, val_acc=0.48457
T:201, train_loss:0.99952, train_acc:0.50299, val_loss=1.09072, val_acc=0.48765
T:202, train_loss:0.99139, train_acc:0.51474, val_loss=1.05541, val_acc=0.48765
