Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:147, train_loss:0.92194, train_acc:0.58635, val_loss=1.26044, val_acc=0.48457
T:148, train_loss:0.90100, train_acc:0.59892, val_loss=1.19635, val_acc=0.48302
T:149, train_loss:0.89010, train_acc:0.60347, val_loss=1.25502, val_acc=0.49537
T:150, train_loss:0.87205, train_acc:0.61448, val_loss=1.27829, val_acc=0.46759
T:151, train_loss:0.86361, train_acc:0.61852, val_loss=1.27585, val_acc=0.48457
T:152, train_loss:0.86132, train_acc:0.62106, val_loss=1.30192, val_acc=0.46296
T:153, train_loss:0.85749, train_acc:0.62302, val_loss=1.17300, val_acc=0.49383
T:154, train_loss:0.86234, train_acc:0.61725, val_loss=1.21961, val_acc=0.47994
T:155, train_loss:0.85009, train_acc:0.63178, val_loss=1.29117, val_acc=0.48457
T:156, train_loss:0.83624, train_acc:0.63190, val_loss=1.33633, val_acc=0.46759
T:157, train_loss:0.83795, train_acc:0.62907, val_loss=1.35574, val_acc=0.46142
T:158, train_loss:0.87010, train_acc:0.62319, val_loss=1.46645, val_acc=0.44907
T:159, train_loss:0.83736, train_acc:0.63640, val_loss=1.46327, val_acc=0.45679
T:160, train_loss:0.84528, train_acc:0.63495, val_loss=1.44936, val_acc=0.45062
T:161, train_loss:0.84244, train_acc:0.63916, val_loss=1.52137, val_acc=0.42284
T:162, train_loss:0.82639, train_acc:0.64672, val_loss=1.42357, val_acc=0.44444
T:163, train_loss:0.83611, train_acc:0.64787, val_loss=1.54469, val_acc=0.43673
T:164, train_loss:0.85919, train_acc:0.64822, val_loss=1.50471, val_acc=0.44444
T:165, train_loss:0.85772, train_acc:0.64871, val_loss=1.53681, val_acc=0.43519
T:166, train_loss:0.85776, train_acc:0.64374, val_loss=1.37978, val_acc=0.43981
T:167, train_loss:0.86832, train_acc:0.63161, val_loss=1.52082, val_acc=0.44753
T:168, train_loss:0.86512, train_acc:0.63251, val_loss=1.53988, val_acc=0.44136
T:169, train_loss:0.86406, train_acc:0.62506, val_loss=1.48823, val_acc=0.44599
T:170, train_loss:0.85548, train_acc:0.61935, val_loss=1.56943, val_acc=0.45525
T:171, train_loss:0.90699, train_acc:0.62206, val_loss=1.48731, val_acc=0.45370
T:172, train_loss:0.90440, train_acc:0.61557, val_loss=1.50165, val_acc=0.42438
T:173, train_loss:0.89809, train_acc:0.61162, val_loss=1.49750, val_acc=0.42901
T:174, train_loss:0.89393, train_acc:0.60716, val_loss=1.50802, val_acc=0.44907
T:175, train_loss:0.88296, train_acc:0.61354, val_loss=1.47167, val_acc=0.44907
T:176, train_loss:0.89231, train_acc:0.60733, val_loss=1.46791, val_acc=0.41358
T:177, train_loss:0.91364, train_acc:0.60643, val_loss=1.40914, val_acc=0.44753
T:178, train_loss:0.89880, train_acc:0.61105, val_loss=1.43150, val_acc=0.43673
T:179, train_loss:0.90565, train_acc:0.61139, val_loss=1.38434, val_acc=0.45833
T:180, train_loss:0.91215, train_acc:0.61337, val_loss=1.44485, val_acc=0.45370
T:181, train_loss:0.91344, train_acc:0.60524, val_loss=1.38387, val_acc=0.44136
T:182, train_loss:0.90935, train_acc:0.60134, val_loss=1.31635, val_acc=0.45062
T:183, train_loss:0.91322, train_acc:0.59231, val_loss=1.28745, val_acc=0.46451
T:184, train_loss:0.90709, train_acc:0.60134, val_loss=1.35994, val_acc=0.43364
T:185, train_loss:0.91945, train_acc:0.58683, val_loss=1.37231, val_acc=0.43210
T:186, train_loss:0.91737, train_acc:0.58875, val_loss=1.40530, val_acc=0.43981
T:187, train_loss:0.90590, train_acc:0.59186, val_loss=1.37982, val_acc=0.43673
T:188, train_loss:0.90914, train_acc:0.59152, val_loss=1.22904, val_acc=0.46142
T:189, train_loss:0.92954, train_acc:0.58593, val_loss=1.27959, val_acc=0.42284
T:190, train_loss:0.93084, train_acc:0.57170, val_loss=1.22202, val_acc=0.43981
T:191, train_loss:0.93808, train_acc:0.57345, val_loss=1.26549, val_acc=0.44599
T:192, train_loss:0.91396, train_acc:0.58164, val_loss=1.17989, val_acc=0.46914
T:193, train_loss:0.90038, train_acc:0.59242, val_loss=1.28260, val_acc=0.46451
T:194, train_loss:0.89818, train_acc:0.59197, val_loss=1.19991, val_acc=0.45833
T:195, train_loss:0.90470, train_acc:0.58808, val_loss=1.26716, val_acc=0.44907
T:196, train_loss:0.90185, train_acc:0.58904, val_loss=1.19592, val_acc=0.47685
T:197, train_loss:0.91041, train_acc:0.58249, val_loss=1.25652, val_acc=0.45679
T:198, train_loss:0.91535, train_acc:0.57560, val_loss=1.27203, val_acc=0.44290
T:199, train_loss:0.89940, train_acc:0.58565, val_loss=1.22537, val_acc=0.46296
T:200, train_loss:0.89956, train_acc:0.58774, val_loss=1.28144, val_acc=0.43210
T:201, train_loss:0.89049, train_acc:0.58514, val_loss=1.26338, val_acc=0.45525
T:202, train_loss:0.89808, train_acc:0.58294, val_loss=1.17649, val_acc=0.44599
T:203, train_loss:0.90660, train_acc:0.56832, val_loss=1.24786, val_acc=0.44136
T:204, train_loss:0.89831, train_acc:0.56764, val_loss=1.31641, val_acc=0.45525
T:205, train_loss:0.89182, train_acc:0.57577, val_loss=1.35542, val_acc=0.43981
T:206, train_loss:0.91359, train_acc:0.56532, val_loss=1.33309, val_acc=0.44444
T:207, train_loss:0.91558, train_acc:0.55657, val_loss=1.42285, val_acc=0.40278
T:208, train_loss:0.92313, train_acc:0.56329, val_loss=1.42645, val_acc=0.42747
T:209, train_loss:0.92386, train_acc:0.56329, val_loss=1.39761, val_acc=0.43519
T:210, train_loss:0.93544, train_acc:0.54404, val_loss=1.42025, val_acc=0.41975
T:211, train_loss:0.95036, train_acc:0.55115, val_loss=1.40177, val_acc=0.42438
T:212, train_loss:0.95602, train_acc:0.54387, val_loss=1.33969, val_acc=0.43519
T:213, train_loss:0.98128, train_acc:0.54370, val_loss=1.31030, val_acc=0.43210
T:214, train_loss:0.97574, train_acc:0.54488, val_loss=1.29265, val_acc=0.43519
T:215, train_loss:0.96158, train_acc:0.54737, val_loss=1.22531, val_acc=0.44753
