Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,15/01/11,0:00:00,St Pauli,Freiburg,2,2,D,1,0,H,asd,11,9,6,7,15,20,5,3,1,1,0,0
D1,15/01/11,0:00:00,Stuttgart,Mainz,1,0,H,0,0,D,asd,7,16,2,4,20,14,6,7,1,2,0,0
D1,15/01/11,0:00:00,Werder Bremen,Hoffenheim,2,1,H,1,0,H,asd,12,8,4,2,24,19,8,4,3,2,0,0
D1,15/01/11,0:00:00,Wolfsburg,Bayern Munich,1,1,D,0,1,A,asd,10,14,4,6,16,16,5,9,2,2,0,0
D1,16/01/11,0:00:00,Ein Frankfurt,Hannover,0,3,A,0,2,A,asd,12,16,4,6,13,26,5,5,1,1,0,0
D1,16/01/11,0:00:00,Kaiserslautern,FC Koln,1,1,D,0,1,A,asd,15,14,4,3,18,24,10,4,1,6,1,0
D1,21/01/11,0:00:00,Hamburg,Ein Frankfurt,1,0,H,0,0,D,asd,9,6,4,1,13,15,6,4,0,0,0,0
D1,22/01/11,0:00:00,Bayern Munich,Kaiserslautern,5,1,H,1,0,H,asd,19,13,9,6,8,11,6,5,0,3,0,0
D1,22/01/11,0:00:00,Dortmund,Stuttgart,1,1,D,1,0,H,asd,18,7,7,3,9,8,8,6,0,2,0,0
D1,22/01/11,0:00:00,FC Koln,Werder Bremen,3,0,H,2,0,H,asd,11,3,5,1,11,25,7,3,3,2,0,0
D1,22/01/11,0:00:00,Freiburg,Nurnberg,1,1,D,1,0,H,asd,6,11,2,2,21,13,4,5,0,1,0,0
D1,22/01/11,0:00:00,Hannover,Schalke 04,0,1,A,0,1,A,asd,11,11,4,4,11,21,4,5,1,2,0,0
D1,22/01/11,0:00:00,Mainz,Wolfsburg,0,1,A,0,0,D,asd,14,8,3,2,16,23,3,5,1,1,0,0
D1,23/01/11,0:00:00,Hoffenheim,St Pauli,2,2,D,1,0,H,asd,10,14,4,5,25,16,4,4,1,1,0,0
D1,23/01/11,0:00:00,M'gladbach,Leverkusen,1,3,A,0,2,A,asd,16,8,6,4,19,15,3,1,1,1,0,0
D1,28/01/11,0:00:00,Leverkusen,Hannover,2,0,H,2,0,H,asd,11,9,6,3,18,12,5,3,0,0,0,0
D1,29/01/11,0:00:00,Kaiserslautern,Mainz,0,1,A,0,1,A,asd,17,12,6,5,15,16,6,3,1,0,0,0
D1,29/01/11,0:00:00,Nurnberg,Hamburg,2,0,H,0,0,D,asd,17,7,7,1,18,20,6,3,1,2,0,1
D1,29/01/11,0:00:00,Schalke 04,Hoffenheim,0,1,A,0,1,A,asd,10,16,1,5,19,16,9,4,2,1,0,0
D1,29/01/11,0:00:00,St Pauli,FC Koln,3,0,H,2,0,H,asd,30,3,10,2,16,16,11,2,0,4,0,0
D1,29/01/11,0:00:00,Werder Bremen,Bayern Munich,1,3,A,0,0,D,asd,9,17,4,6,21,18,7,4,2,2,1,0
D1,29/01/11,0:00:00,Wolfsburg,Dortmund,0,3,A,0,2,A,asd,9,17,2,8,18,12,4,3,2,2,0,0
D1,30/01/11,0:00:00,Ein Frankfurt,M'gladbach,0,1,A,0,0,D,asd,17,16,2,7,7,18,4,4,0,2,0,0
D1,30/01/11,0:00:00,Stuttgart,Freiburg,0,1,A,0,1,A,asd,15,9,4,3,10,20,9,3,0,2,0,0
D1,4/2/2011,0:00:00,Dortmund,Schalke 04,0,0,D,0,0,D,asd,21,6,9,2,13,19,1,2,2,3,0,0
D1,5/2/2011,0:00:00,FC Koln,Bayern Munich,3,2,H,0,2,A,asd,17,12,6,4,19,17,5,7,0,2,0,0
D1,5/2/2011,0:00:00,Hannover,Wolfsburg,1,0,H,1,0,H,asd,10,12,4,3,18,16,4,4,1,3,0,0
D1,5/2/2011,0:00:00,Hoffenheim,Kaiserslautern,3,2,H,2,0,H,asd,17,24,8,7,17,24,4,7,1,2,1,0
D1,5/2/2011,0:00:00,Mainz,Werder Bremen,1,1,D,1,0,H,asd,10,9,5,3,19,24,6,3,1,4,0,0
D1,5/2/2011,0:00:00,M'gladbach,Stuttgart,2,3,A,2,0,H,asd,12,9,5,3,19,14,5,3,1,2,1,0
D1,5/2/2011,0:00:00,Nurnberg,Leverkusen,1,0,H,0,0,D,asd,9,11,3,0,25,19,3,2,1,3,1,0
D1,6/2/2011,0:00:00,Freiburg,Ein Frankfurt,0,0,D,0,0,D,asd,12,12,0,3,14,21,5,6,0,2,0,0
D1,12/2/2011,0:00:00,Bayern Munich,Hoffenheim,4,0,H,2,0,H,asd,17,14,11,4,5,17,8,3,0,4,0,0
D1,12/2/2011,0:00:00,Ein Frankfurt,Leverkusen,0,3,A,0,2,A,asd,12,12,3,6,25,15,1,6,3,1,0,0
D1,12/2/2011,0:00:00,Kaiserslautern,Dortmund,1,1,D,0,0,D,asd,15,17,3,6,14,16,6,2,1,0,0,1
D1,12/2/2011,0:00:00,Schalke 04,Freiburg,1,0,H,0,0,D,asd,20,3,7,1,7,22,12,0,2,2,0,0
D1,12/2/2011,0:00:00,St Pauli,M'gladbach,3,1,H,1,1,D,asd,23,7,9,2,14,15,9,1,1,1,0,1
